player,pid,start,step,end,kill,completed,winner
A,A4,-1,2,1,,,
B,B2,-1,3,2,,,
A,A4,1,2,3,,,
A,A3,-1,1,0,,,
B,B0,-1,2,1,,,
A,A4,3,4,7,,,
B,B5,-1,1,0,,,
A,A5,-1,3,2,,,
B,B2,2,2,4,,,
A,A0,-1,2,1,,,
B,B0,1,1,2,,,
A,A4,7,3,10,,,
B,B2,4,3,7,,,
B,B0,2,3,5,,,
A,A4,10,2,12,,,
A,A6,-1,4,3,,,
A,A4,12,2,14,,A4,
B,B0,5,1,6,,,
A,A6,3,2,5,,,
B,B0,6,4,10,,,
A,A0,1,3,4,,,
B,B0,10,2,12,,,
B,B2,7,1,8,,,
A,A0,4,3,7,,,
A,A3,0,1,1,,,
A,A3,1,2,3,,,
B,B2,8,1,9,,,
B,B5,0,3,3,,,
B,B6,-1,3,2,,,
A,A5,2,4,6,,,
A,A2,-1,2,1,,,
B,B3,-1,1,0,,,
A,A0,7,4,11,,,
B,B0,12,1,13,,,
B,B4,-1,2,1,,,
A,A6,5,3,8,,,
B,B3,0,4,4,,,
A,A1,-1,1,0,,,
A,A5,6,4,10,,,
B,B0,13,1,14,,B0,
A,A6,8,1,9,B2,,
B,B6,2,4,6,,,
A,A1,0,4,4,B3,,
B,B6,6,4,10,A5,,
B,B4,1,3,4,A1,,
B,B6,10,3,13,,,
A,A2,1,3,4,B4,,
B,B5,3,4,7,,,
B,B2,-1,2,1,,,
A,A0,11,3,14,,A0,
B,B5,7,4,11,,,
A,A5,-1,3,2,,,
B,B2,1,3,4,A2,,
B,B5,11,3,14,,B5,
A,A5,2,4,6,,,
B,B3,-1,4,3,,,
B,B1,-1,3,2,,,
A,A3,3,4,7,,,
B,B6,13,1,14,,B6,
A,A1,-1,4,3,,,
B,B2,4,2,6,A5,,
A,A6,9,1,10,,,
B,B3,3,4,3,,,
B,B4,-1,2,1,,,
A,A3,7,4,11,,,
B,B2,6,1,7,,,
B,B2,7,2,9,,,
B,B2,9,2,11,A3,,
A,A6,10,4,14,,A6,
B,B2,11,1,12,,,
B,B3,3,2,5,,,
B,B1,2,1,3,,,
B,B3,5,1,6,,,
A,A1,3,1,4,,,
B,B1,3,1,4,A1,,
A,A2,-1,2,1,,,
B,B4,1,4,5,,,
A,A3,-1,4,3,,,
A,A3,3,2,5,B4,,
B,B1,4,4,8,,,
B,B3,6,1,7,,,
B,B3,7,2,9,,,
A,A2,1,3,4,,,
B,B2,12,1,13,,,
A,A5,-1,1,0,,,
B,B1,8,4,12,,,
B,B4,-1,3,2,,,
A,A2,4,3,7,,,
A,A2,7,3,10,,,
B,B3,9,1,10,A2,,
A,A3,5,1,6,,,
A,A3,6,3,9,,,
B,B3,10,4,14,,B3,
B,B4,2,1,3,,,
B,B4,3,4,7,,,
A,A5,0,1,1,,,
B,B4,7,3,10,,,
A,A3,9,2,11,,,
A,A5,1,4,5,,,
B,B4,10,3,10,,,
A,A2,-1,2,1,,,
B,B4,10,3,10,,,
A,A3,11,1,12,,,
B,B2,13,1,14,,B2,
A,A2,1,1,2,,,
B,B1,12,1,13,,,
A,A5,5,1,6,,,
B,B4,10,4,14,,B4,
A,A2,2,2,4,,,
A,A1,-1,3,2,,,
A,A3,12,2,14,,A3,
A,A2,4,1,5,,,
A,A2,5,4,9,,,
A,A5,6,1,7,,,
A,A1,2,2,4,,,
A,A5,7,3,10,,,
A,A5,10,2,12,,,
A,A2,9,3,9,,,
A,A1,4,4,8,,,
A,A2,9,3,9,,,
A,A1,8,4,8,,,
A,A5,12,1,13,,,
A,A2,9,1,10,,,
A,A2,10,3,10,,,
A,A2,10,3,10,,,
A,A2,10,3,10,,,
B,B1,13,1,14,,B1,B
